group_keyword,group_sentence_1,video_id,youtube,school_zh,school_total_videos,township_slug,township_total_videos,decision,reason
write (v),the students write in their workbooks.,JueOZsY5DCA,https://www.youtube.com/watch?v=JueOZsY5DCA,彰化縣芬園鄉文德國小,38,fenyuan,48,DROP,dropped: same as 5vRUQv4sQ1w (彰化縣彰化市快官國小)
write (v),the students write in their workbooks.,-Q4OtOJp2wo,https://www.youtube.com/watch?v=-Q4OtOJp2wo,彰化縣和美鎮和仁國小,45,hemei,99,DROP,dropped: same as 5vRUQv4sQ1w (彰化縣彰化市快官國小)
write (v),the students write in their workbooks.,CKBiLMXcBew,https://www.youtube.com/watch?v=CKBiLMXcBew,彰化縣福興鄉永豐國小,60,fuxing,143,DROP,dropped: same as 5vRUQv4sQ1w (彰化縣彰化市快官國小)
online test,the students take online tests in class.,R_1Y8vx3LMY,https://www.youtube.com/watch?v=R_1Y8vx3LMY,彰化縣鹿港鎮頂番國小,19,lukang,114,KEEP,kept: smallest school count (19 videos)
online test,the students take online tests in class.,OeDkxZ7CZHU,https://www.youtube.com/watch?v=OeDkxZ7CZHU,彰化縣彰化市快官國小,32,changhua-city,387,DROP,dropped: same as R_1Y8vx3LMY (彰化縣鹿港鎮頂番國小)
online test,the students take online tests in class.,YBv_4ZRMWS0,https://www.youtube.com/watch?v=YBv_4ZRMWS0,彰化縣溪州鄉溪州國小,61,xizhou,226,DROP,dropped: same as R_1Y8vx3LMY (彰化縣鹿港鎮頂番國小)
online test,the students take online tests in class.,oia888G_Obo,https://www.youtube.com/watch?v=oia888G_Obo,彰化縣芳苑鄉路上國小,129,fangyuan,213,DROP,dropped: same as R_1Y8vx3LMY (彰化縣鹿港鎮頂番國小)
ipad (n),some teachers have students use ipads in the class.,IjAtxLc3nf4,https://www.youtube.com/watch?v=IjAtxLc3nf4,彰化縣花壇鄉花壇國中,20,huatan,27,KEEP,kept: smallest school count (20 videos)
ipad (n),some teachers have students use ipads in the class.,JKXXibUqjv0,https://www.youtube.com/watch?v=JKXXibUqjv0,彰化縣二水鄉源泉國小,51,ershui,91,DROP,dropped: same as IjAtxLc3nf4 (彰化縣花壇鄉花壇國中)
ipad (n),some teachers have students use ipads in the class.,fzsUNhqXZ50,https://www.youtube.com/watch?v=fzsUNhqXZ50,彰化縣福興鄉永豐國小,60,fuxing,143,DROP,dropped: same as IjAtxLc3nf4 (彰化縣花壇鄉花壇國中)
ipad (n),some teachers have students use ipads in the class.,WVXTLze45e0,https://www.youtube.com/watch?v=WVXTLze45e0,彰化縣田中鎮三潭國小,92,tianzhong,271,DROP,dropped: same as IjAtxLc3nf4 (彰化縣花壇鄉花壇國中)
height (n),the nurse is measuring the students' heights.,AbP3UnbehKg,https://www.youtube.com/watch?v=AbP3UnbehKg,彰化縣福興鄉西勢國小,53,fuxing,143,KEEP,kept: smallest school count (53 videos)
height (n),the nurse is measuring the students' heights.,6TotMLpSvCc,https://www.youtube.com/watch?v=6TotMLpSvCc,彰化縣溪州鄉溪州國小,61,xizhou,226,DROP,dropped: same as AbP3UnbehKg (彰化縣福興鄉西勢國小)
height (n),the nurse is measuring the students' heights.,0H6pNqBl7M8,https://www.youtube.com/watch?v=0H6pNqBl7M8,彰化縣田中鎮明禮國小,80,tianzhong,271,DROP,dropped: same as AbP3UnbehKg (彰化縣福興鄉西勢國小)
height (n),the nurse is measuring the students' heights.,ybtoA3LFPmU,https://www.youtube.com/watch?v=ybtoA3LFPmU,彰化縣竹塘鄉竹塘國小,100,zhutang,183,DROP,dropped: same as AbP3UnbehKg (彰化縣福興鄉西勢國小)
warm up,the students do warm-up exercises.,uC1sh6SlRW8,https://www.youtube.com/watch?v=uC1sh6SlRW8,彰化縣彰化市民生國小,12,changhua-city,387,KEEP,kept: smallest school count (12 videos)
warm up,the students do warm-up exercises.,0BTVE5z67BY,https://www.youtube.com/watch?v=0BTVE5z67BY,彰化縣福興鄉西勢國小,53,fuxing,143,DROP,dropped: same as uC1sh6SlRW8 (彰化縣彰化市民生國小)
percussion (n),percussion means you must strike or hit something to make a sound.,H7qYKD4P_G4,https://www.youtube.com/watch?v=H7qYKD4P_G4,彰化縣鹿港鎮頂番國小,19,lukang,114,KEEP,kept: smallest school count (19 videos)
percussion (n),percussion means you must strike or hit something to make a sound.,k68NTcCouUM,https://www.youtube.com/watch?v=k68NTcCouUM,彰化縣鹿港鎮鹿鳴國中,59,lukang,114,DROP,dropped: same as H7qYKD4P_G4 (彰化縣鹿港鎮頂番國小)
nurse's office,the students get their height measured in the nurse's office.,N-sgijYjQl8,https://www.youtube.com/watch?v=N-sgijYjQl8,彰化縣田中鎮新民國小,58,tianzhong,271,KEEP,kept: smallest school count (58 videos)
nurse's office,the students get their height measured in the nurse's office.,gU5lv42hQ4A,https://www.youtube.com/watch?v=gU5lv42hQ4A,彰化縣溪州鄉溪州國小,61,xizhou,226,DROP,dropped: same as N-sgijYjQl8 (彰化縣田中鎮新民國小)
eye test,the students take an eye test in the nurse's office.,2mYc40Dv9vY,https://www.youtube.com/watch?v=2mYc40Dv9vY,彰化縣田中鎮新民國小,58,tianzhong,271,KEEP,kept: smallest school count (58 videos)
eye test,the students take an eye test in the nurse's office.,P5fhBu6nkgs,https://www.youtube.com/watch?v=P5fhBu6nkgs,彰化縣竹塘鄉竹塘國小,100,zhutang,183,DROP,dropped: same as 2mYc40Dv9vY (彰化縣田中鎮新民國小)
weekly english,the school has a weekly english program.,Xoza2VEUw40,https://www.youtube.com/watch?v=Xoza2VEUw40,彰化縣社頭鄉朝興國小,24,shetou,95,KEEP,kept: smallest school count (24 videos)
weekly english,the school has a weekly english program.,vgY12_-zJ_s,https://www.youtube.com/watch?v=vgY12_-zJ_s,彰化縣和美鎮新庄國小,25,hemei,99,DROP,dropped: same as Xoza2VEUw40 (彰化縣社頭鄉朝興國小)
weekly english,the school has a weekly english program.,QD5cX-mMeAY,https://www.youtube.com/watch?v=QD5cX-mMeAY,彰化縣芳苑鄉芳苑國小,46,fangyuan,213,DROP,dropped: same as Xoza2VEUw40 (彰化縣社頭鄉朝興國小)
weekly english,the school has a weekly english program.,wkguuA5MV08,https://www.youtube.com/watch?v=wkguuA5MV08,彰化縣芳苑鄉芳苑國小,46,fangyuan,213,DROP,dropped: same as Xoza2VEUw40 (彰化縣社頭鄉朝興國小)
weekly english,the school has a weekly english program.,-OrFZy_ELW4,https://www.youtube.com/watch?v=-OrFZy_ELW4,彰化縣北斗鎮萬來國小,113,beidou,199,DROP,dropped: same as Xoza2VEUw40 (彰化縣社頭鄉朝興國小)
music class,each student plays the recorder in music class.,dwLBrhgochs,https://www.youtube.com/watch?v=dwLBrhgochs,彰化縣田中鎮新民國小,58,tianzhong,271,KEEP,kept: smallest school count (58 videos)
music class,each student plays the recorder in music class.,8jAjc3tuNdY,https://www.youtube.com/watch?v=8jAjc3tuNdY,彰化縣伸港鄉大同國小,105,shenkang,149,DROP,dropped: same as dwLBrhgochs (彰化縣田中鎮新民國小)
self assessment,the students use tablets for self-assessment.,JNPfXaEaWm4,https://www.youtube.com/watch?v=JNPfXaEaWm4,彰化縣溪州鄉溪州國小,61,xizhou,226,KEEP,kept: smallest school count (61 videos)
self assessment,the students use tablets for self-assessment.,CrMSKX0pZJ8,https://www.youtube.com/watch?v=CrMSKX0pZJ8,彰化縣伸港鄉大同國小,105,shenkang,149,DROP,dropped: same as JNPfXaEaWm4 (彰化縣溪州鄉溪州國小)
serve (v),the students serve lunch to their classmates.,K-FUDq7Hf7Q,https://www.youtube.com/watch?v=K-FUDq7Hf7Q,彰化縣彰化市東芳國小,26,changhua-city,387,KEEP,kept: smallest school count (26 videos)
serve (v),the students serve lunch to their classmates.,ey2I289HojM,https://www.youtube.com/watch?v=ey2I289HojM,彰化縣福興鄉育新國小,28,fuxing,143,DROP,dropped: same as K-FUDq7Hf7Q (彰化縣彰化市東芳國小)
serve (v),the students serve lunch to their classmates.,qvDXGPdyDPI,https://www.youtube.com/watch?v=qvDXGPdyDPI,彰化縣北斗鎮北斗國中,31,beidou,199,DROP,dropped: same as K-FUDq7Hf7Q (彰化縣彰化市東芳國小)
serve (v),the students serve lunch to their classmates.,bkMvXwEPDvE,https://www.youtube.com/watch?v=bkMvXwEPDvE,彰化縣伸港鄉新港國小,44,shenkang,149,DROP,dropped: same as K-FUDq7Hf7Q (彰化縣彰化市東芳國小)
serve (v),the students serve lunch to their classmates.,zmTZrDke8yc,https://www.youtube.com/watch?v=zmTZrDke8yc,彰化縣田中鎮三潭國小,92,tianzhong,271,DROP,dropped: same as K-FUDq7Hf7Q (彰化縣彰化市東芳國小)
serve (v),the students serve lunch to their classmates.,KbeVHLLv5_w,https://www.youtube.com/watch?v=KbeVHLLv5_w,彰化縣竹塘鄉竹塘國小,100,zhutang,183,DROP,dropped: same as K-FUDq7Hf7Q (彰化縣彰化市東芳國小)
healthy (adj),the students learn how to make healthy choices.,xgEh9WcZzI0,https://www.youtube.com/watch?v=xgEh9WcZzI0,彰化縣彰化市東芳國小,26,changhua-city,387,KEEP,kept: smallest school count (26 videos)
healthy (adj),the students learn how to make healthy choices.,tZpTOHUqIs0,https://www.youtube.com/watch?v=tZpTOHUqIs0,彰化縣溪州鄉溪州國小,61,xizhou,226,DROP,dropped: same as xgEh9WcZzI0 (彰化縣彰化市東芳國小)
jog (v),these students are jogging around the school grounds.,4Lqc0uO9X50,https://www.youtube.com/watch?v=4Lqc0uO9X50,彰化縣彰化市彰興國中,22,changhua-city,387,KEEP,kept: smallest school count (22 videos)
jog (v),these students are jogging around the school grounds.,z3bkKRNZKe8,https://www.youtube.com/watch?v=z3bkKRNZKe8,彰化縣伸港鄉大同國小,105,shenkang,149,DROP,dropped: same as 4Lqc0uO9X50 (彰化縣彰化市彰興國中)
